link,name,ou
https://byui.brightspace.com/d2l/p/home/272131,AUTO 232: 01 (Campus); Spring 2017,272131
https://byui.brightspace.com/d2l/p/home/272193,AUTO 298R: 01 (Campus); Spring 2017,272193
https://byui.brightspace.com/d2l/p/home/273131,AUTO 300: 01 (Campus); Spring 2017,273131
https://byui.brightspace.com/d2l/p/home/272128,AUTO 340: 01 (Campus); Spring 2017,272128
https://byui.brightspace.com/d2l/p/home/236448,AUTO 381: 01 (Campus); Spring 2017,236448
https://byui.brightspace.com/d2l/p/home/269234,AUTO 382: 01 (Campus); Spring 2017,269234
https://byui.brightspace.com/d2l/p/home/236451,AUTO 398R: 01 (Campus); Spring 2017,236451
https://byui.brightspace.com/d2l/p/home/274692,B 100: 09 (Campus); Spring 2017,274692
https://byui.brightspace.com/d2l/p/home/275301,B 100: 10 (Campus); Spring 2017,275301
https://byui.brightspace.com/d2l/p/home/274695,B 100: 11 (Campus); Spring 2017,274695
https://byui.brightspace.com/d2l/p/home/275304,B 100: 12 (Campus); Spring 2017,275304
https://byui.brightspace.com/d2l/p/home/274681,B 100: 13 (Campus); Spring 2017,274681
https://byui.brightspace.com/d2l/p/home/274684,B 100: 14 (Campus); Spring 2017,274684
https://byui.brightspace.com/d2l/p/home/274704,B 100: 15 (Campus); Spring 2017,274704
https://byui.brightspace.com/d2l/p/home/273368,B 100: 16 (Campus); Spring 2017,273368
https://byui.brightspace.com/d2l/p/home/273371,B 100: 17 (Campus); Spring 2017,273371
https://byui.brightspace.com/d2l/p/home/273374,B 100: 18 (Campus); Spring 2017,273374
https://byui.brightspace.com/d2l/p/home/236681,B 101: 06 (Campus); Spring 2017,236681
https://byui.brightspace.com/d2l/p/home/236684,B 101: 07 (Campus); Spring 2017,236684
https://byui.brightspace.com/d2l/p/home/270610,B 101: 09 (Campus); Spring 2017,270610
https://byui.brightspace.com/d2l/p/home/236687,B 183: 09 (Campus); Spring 2017,236687
https://byui.brightspace.com/d2l/p/home/270765,B 201: 04 (Campus); Spring 2017,270765
https://byui.brightspace.com/d2l/p/home/273420,B 201: 05 (Campus); Spring 2017,273420
https://byui.brightspace.com/d2l/p/home/273423,B 201: 06 (Campus); Spring 2017,273423
https://byui.brightspace.com/d2l/p/home/266290,"B 211: 13,14 (Campus); Spring 2017",266290
https://byui.brightspace.com/d2l/p/home/273318,B 211: 17 (Campus); Spring 2017,273318
https://byui.brightspace.com/d2l/p/home/273321,B 211: 20 (Campus); Spring 2017,273321
https://byui.brightspace.com/d2l/p/home/273324,B 211: 21 (Campus); Spring 2017,273324
https://byui.brightspace.com/d2l/p/home/274032,B 215: 11 (Campus); Spring 2017,274032
https://byui.brightspace.com/d2l/p/home/274035,B 215: 13 (Campus); Spring 2017,274035
